facility,region,specialties,procedures,equipment,capabilities,numberDoctors,capacity
Bechem Government Hospital,Ahafo Region,"['internalMedicine', 'dentistry', 'gynecologyAndObstetrics']",[],"['Phototherapy machine donated to Bechem Government Hospital in May 2016', 'Dental chair donated to Bechem Government Hospital in May 2016']","['Bechem Government Hospital has a bed capacity of 155.', 'Operates as a district (secondary) hospital within the Ghana Health Service in the Tano South District, Ahafo Region.', 'Not-for-profit facility.', 'Serves as a referral hospital for all sub-district health facilities.', 'Average daily attendance is around 366 patients.', 'Contracted NHIA provider for the Tano South District Health Insurance Scheme (TSDHIS).', 'Provides 24-hour service.']",,
"Behind the Chief's Palace Abesim, Ghana",,['infectiousDiseases'],"['Offers PMTCT services', 'Provides hospice and home-based care', 'Conducts behavior change communication programs', 'Engages in community outreach', 'Implements stigma reduction initiatives', 'Delivers prevention, care, and support services with emphasis on vulnerable populations']",[],"['Specializes in HIV and AIDS care', 'Focuses on global health and public health initiatives', 'Operates as a nonprofit organization', 'Employs between 11 to 50 staff members']",,
Beijing Clinic Ghana,Accra,['internalMedicine'],[],[],[],,
Bemuah Royal Hospital,,"['cardiology', 'emergencyMedicine', 'criticalCareMedicine', 'radiology', 'pathology']","['Performs endoscopy and bronchoscopy', 'Performs pulmonary function testing (spirometry)', 'Conducts echocardiography and ECG with Holter monitoring', 'Performs exercise stress testing', 'Performs 24-hour ambulatory blood pressure monitoring (ABPM)', 'Performs sleep studies', 'Provides radiographic X-ray imaging']","['Has X-ray imaging equipment', 'Uses ultrasound machine', 'Utilizes endoscopy and bronchoscopy equipment', 'Maintains pulmonary function testing equipment (spirometry)', 'Has blood gas analyzer', 'Employs ECG/Holter monitoring equipment', 'Features on-site laboratory equipment', 'Operates fully equipped ambulances']","['Offers 24/7 emergency department and 24/7 emergency medicine services', 'Has a 30-bed inpatient department with 5 ICU beds, 2 resuscitation beds, and 2 observation beds', 'Hosts the first Intensive Care Unit in a private hospital in the country', 'Maintains a 7-bed Intensive Care Unit (ICU)', 'Provides on-site laboratory, X-ray, and ultrasound services', 'Keeps ambulances on standby 24 hours a day', 'Specializes in respiratory care, cardiology, and emergency medicine', 'Offers outpatient, inpatient, emergency medicine, and critical care services']",,
Bengali Hospital,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Listed on GhanaBusinessWeb as Bengali Hospital in Tema']",,
Benso Health Centre - Ghana,Western,['internalMedicine'],[],[],"['Benso Health Centre is a government health centre in Western, Benso Ghana.']",,
Berekum Holy Family Hospital,Brong Ahafo Region,['internalMedicine'],[],[],"['Offers internal medicine services', 'Located in Berekum, Brong Ahafo Region, Ghana', ""Hospital is indicated to be 'Always open' according to Facebook page""]",,
Best Care Natural Clinic,,['internalMedicine'],[],[],['Offers exceptional healthcare blending natural therapies with cutting-edge medical expertise'],,
BestSmile Dental Clinic,,['dentistry'],"['Provides preventive dental care', 'Offers cosmetic dentistry', 'Provides restorative dental treatments']",['Uses advanced technology for dental treatments'],"['Offers a comprehensive range of dental services', 'Has an experienced dental team', 'Mission to help clients achieve and maintain optimum oral health']",,
Beulah Land International Hospital,,"['internalMedicine', 'pediatrics', 'gynecologyAndObstetrics', 'radiology', 'cardiology', 'pathology']",[],['Has operating rooms'],"['Established in 2022', 'Provides comprehensive medical care', 'Offers free medical care program for religious leaders, including retired Christian pastors', 'Aims to become the first private Teaching Hospital with Affiliates in the USA and the UK']",,
Bibiani Municipal Hospital,,['internalMedicine'],[],[],"['Provides quality service by well-motivated, disciplined, and competent staff', 'Aims to be a center of excellence in healthcare']",,
Bimbilla Hospital,Northern,['internalMedicine'],[],[],"['Government primary hospital', 'NHIS accredited', 'Offers general services']",,
Blackwood Optometry,,['ophthalmology'],[],[],[],,
Blessings Clinic,Greater Accra,['internalMedicine'],[],[],"['Provides comprehensive healthcare services for community wellness', 'Listed in the GhanaYello directory under Doctors and Clinics, Hospitals, Medical Clinics, and Health Care categories', 'GhanaYello listing for Blessings Clinic was registered on 12 Apr, 2018']",,
Blueprint DNA Organization,,[],"['Provides paternity testing services', 'Performs DNA testing']",[],"['Offers advocacy and education on genetic and relationship testing', 'Provides paternity testing and DNA testing services nationwide and overseas']",,
Boafo Yena Clinic,Western,[],[],[],"['Operates as a private CHPS', 'Provides comprehensive healthcare services in a community setting']",,
Bodi Anglican Clinic - Ghana,Western,[],[],[],"['Bodi Anglican Clinic is a CHAG clinic in Western, Sefwi Bodi, Ghana.']",,
Boinzan Anglican Clinic,,['internalMedicine'],[],[],"['Offers general health services', 'Is NHIS-accredited']",,
Bole Hospital,,['internalMedicine'],[],[],"['Always open (24/7 operation)', 'Located on Mandari Road in Bole, Ghana']",,
Bre Nye Kwa Hospital,Brong Ahafo,['internalMedicine'],[],[],"['Government hospital located in Brong Ahafo region, Berekum, Ghana', 'Offers comprehensive healthcare services for local communities']",,
Brebre CHPS,Western,[],[],[],"['Operates as a government CHPS (Community Health Planning and Services) facility in Western, Brebre, Ghana.']",,
Britannia Medical Centre,,"['internalMedicine', 'generalSurgery', 'gynecologyAndObstetrics', 'emergencyMedicine', 'radiology', 'pediatrics', 'familyMedicine', 'dentistry', 'pathology', 'orthopedicSurgery']","['Runs antenatal clinics twice weekly with ultramodern ultrasound support', 'Provides 18–22 week detailed fetal ultrasound examination to screen for major abnormalities', 'Offers general surgery services', 'Provides urology services', 'Offers orthopedic surgery services', 'Provides reproductive medicine including IVF services', 'Offers emergency care 24 hours a day for minor trauma and common emergencies', 'Offers pediatric outpatient clinics and inpatient pediatric care', 'Provides dentistry services with a dental chair and imaging facilities', 'Performs haematology and biochemistry investigations in an on-site automated laboratory', 'Offers radiology imaging services including ultrasound and X-ray investigations']","['Has ultramodern ultrasound equipment for antenatal clinics', 'Maintains a dental chair and imaging facilities for dentistry services']","['Provides 24/7 emergency care', 'Offers both outpatient and inpatient pediatric care', 'Operates an on-site automated laboratory for haematology and biochemistry investigations']",,
Bromley Park Dental Clinic,,['dentistry'],"['Offers restorative dentistry', 'Offers general dentistry', 'Provides teeth whitening', 'Provides dental implants', 'Provides braces']",[],[],,
"Bromley Park Dental Clinic - 49 Blohum Road, Dzorwulu Inside Studio 7 Beauty Lounge Compound",,['dentistry'],"['Offers dental checkup service to assess oral health', 'Provides professional teeth whitening service', 'Conducts dental braces treatment', 'Performs dental implants placement', 'Administers dental fillings treatment']",[],[],,
"Brong Ahafo Regional Hospital, Sunyani",,['internalMedicine'],[],['Has an automatic changeover oxygen manifold'],[],,
Bryant Mission Hospital,Ashanti Region,['internalMedicine'],[],[],"['Designated as a primary hospital', 'Located in Obuasi, Obuasi Municipal, Ashanti Region, Ghana']",,
Buck Hospital & Fertility Center,,"['gynecologyAndObstetrics', 'pediatrics', 'generalSurgery', 'internalMedicine']","['Provides fertility management services through the Fertility Clinic.', 'Offers surgical procedures via the Surgery department.', 'Treats common medical conditions and provides urgent medical treatments through General Practice.', 'Provides preventive obstetrics and gynecology services.', 'Pediatrics department focuses on prevention, early detection, and management of pediatric health issues.']",['Operates a surgery department with state-of-the-art operating room equipment.'],"['Buck Hospital & Fertility Center includes the following departments: General Practice, Obstetrics & Gynecology, Fertility Clinic, Surgery, and Pediatrics.']",,
Busybitesdentalgh,,['dentistry'],"['Offers clear aligner orthodontic treatment for teeth straightening', 'Provides orthodontic consultation for clear aligners']",[],[],,
C.H.I.L.D. & Associates,,"['pediatrics', 'internalMedicine']",[],[],"['C.H.I.L.D. & Associates is a pediatric and public health centre.', 'Located in Accra, Ghana.', ""Recognized as Ghana's premiere pediatric and public health centre.""]",,
C&J Medicare Hospital,,['internalMedicine'],[],[],['Open 24 hours a day'],,
CAMFAP Maternity Clinic,Ashanti,['gynecologyAndObstetrics'],[],[],"['CAMFAP Maternity Clinic is a private maternity clinic', 'Registered on 12 April 2018', 'Categorized under Doctors and Clinics, Hospitals, Health Care, Pregnancy and Child Birth, and Maternity Services']",,
Cape Coast Metropolitan Hospital,,['internalMedicine'],[],[],['Operates 24/7'],,
Cape Coast Teaching Hospital,,"['emergencyMedicine', 'generalSurgery', 'pathology', 'radiology', 'gynecologyAndObstetrics', 'pediatrics', 'internalMedicine']",[],[],"['Serves as a premier tertiary health facility in the Northern Region of Ghana', 'Upgraded to a Teaching Hospital in 2009', 'Commissioned in 1974 as a Regional Hospital']",,
Care360 Medical Centre,,"['internalMedicine', 'dentistry']","['Provides dental scaling and polishing services', 'Offers free scaling and polishing for NHIS holders from 1 April 2025 to 30 April 2025']",[],"['Care360 Medical Centre is a state-of-the-art healthcare facility', 'Offers online booking', 'Accepts NHIS for eligible services']",,
Carelinx Home Healthcare Agency,,[],[],[],"['Provides in-home healthcare services in Accra, Ghana', 'Focuses on helping clients maintain independence and quality of life in their own home']",,
Cathedral Herbal & Fertility Clinic,,[],['Specializes in reproductive endocrinology and infertility treatments'],[],['Awarded Most Promising Fertility Center of the Year at the West African Traditional and Alternative Medical Awards 2023/2024'],,
Catholic Hospital Battor,Volta Region,['internalMedicine'],"['Hosted a Urologist visit from February 1 to 16, 2025']",[],"['Offers internal medicine services', 'Provides urology services']",,
"Catholic Hospital, Anfoega",,['internalMedicine'],[],[],['Provides 24-hour quality healthcare services'],,
"Center for Cosmetic Surgery, Ghana",,['plasticSurgery'],"['Performs laser liposuction using SmartLipo', 'Conducts tummy tuck procedures', 'Offers breast lift surgeries', 'Provides natural breast augmentation', 'Administers Botox injections', 'Offers Juvederm injections', 'Provides Restylane injections', 'Administers Radiesse injections', 'Conducts Vampire Facelift procedures', 'Performs laser varicose vein closure']",[],"['Specializes in cosmetic surgery and cosmetic dermatology', 'Offers consultation bookings by phone']",,
Central Dansoman Clinic,,"['internalMedicine', 'gynecologyAndObstetrics', 'radiology', 'generalSurgery', 'cardiology']","['Offers vaccination services including COVID-19 vaccines', 'Provides free breast screening by appointment', 'Conducts ultrasound imaging procedures', 'Performs ECG (electrocardiography) investigations', 'Offers surgical services']","['Uses ultrasound imaging equipment', 'Utilizes ECG equipment']","['Provides specialist clinics in Internal Medicine, Surgery, Gynecology, Cardiology, and Dermatology', 'Offers on-site laboratory facilities for investigations', 'Provides on-site radiology services including ultrasound and ECG', 'Has telemedicine services available', 'Accredited as service providers by private health insurance providers']",,
Central Regional Police Clinic,,"['internalMedicine', 'pediatrics', 'gynecologyAndObstetrics', 'radiology', 'pathology', 'dentistry', 'generalSurgery', 'emergencyMedicine']",[],[],"['Offers services in internal medicine, pediatrics, gynecology and obstetrics, ophthalmology, otolaryngology, radiology, pathology, dentistry, psychiatry, public health, general surgery, anesthesia, and emergency medicine', 'Part of the Ghana Police Hospital network with access to satellite clinics']",,
Centre for Plant Medicine Research,,[],[],[],"['Established in 1975 by the Government of Ghana', 'Formerly known as the Centre for Scientific Research into Plant Medicine (CSRPM)', 'Focuses on pharmacology and toxicology', 'Specializes in phytochemistry', 'Conducts research in microbiology']",,
